INFO:root:[AutoTrain] ep=0, question='Where is the capital city of Poland?', correct=0, chosen=(8, 0.0), rew=-1, eps=0.995
INFO:root:[AutoTrain] ep=1, question='What is the language used in the Czech Republic?', correct=10, chosen=(0, 0.0), rew=-1, eps=0.990
INFO:root:[AutoTrain] ep=2, question='How does a leap year work? ', correct=4, chosen=(9, 0.0), rew=-1, eps=0.985
INFO:root:[AutoTrain] ep=3, question='How many days does February have in a leap year?', correct=3, chosen=(7, 0.0), rew=-1, eps=0.980
INFO:root:[AutoTrain] ep=4, question='Which language do Czechs speak?', correct=10, chosen=(1, 0.0), rew=-1, eps=0.975
INFO:root:[AutoTrain] ep=5, question='Which language do people speak in Czech Republic?', correct=10, chosen=(8, 0.0), rew=-1, eps=0.970
INFO:root:[AutoTrain] ep=6, question='What is the capital of Czech Republic?', correct=5, chosen=(2, 0.0), rew=-1, eps=0.966
INFO:root:[AutoTrain] ep=7, question='What are the main colors of the Polish flag?', correct=4, chosen=(4, 0.0), rew=-1, eps=0.961
INFO:root:[AutoTrain] ep=8, question='Give me an example of a secure password.', correct=4, chosen=(5, 0.0), rew=-1, eps=0.956
INFO:root:[AutoTrain] ep=9, question='University in Hradec Kralove?', correct=2, chosen=(1, 0.0), rew=-1, eps=0.951
INFO:root:[AutoTrain] ep=10, question='How many days in leap year February?', correct=3, chosen=(3, 0.0), rew=-1, eps=0.946
INFO:root:[AutoTrain] ep=11, question='Who will be the next president of Poland?', correct=11, chosen=(0, 0.0), rew=-1, eps=0.942
INFO:root:[AutoTrain] ep=12, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=(5, 0.0), rew=-1, eps=0.937
INFO:root:[AutoTrain] ep=13, question='What is the capital of Poland?', correct=0, chosen=(4, 0.0), rew=-1, eps=0.932
INFO:root:[AutoTrain] ep=14, question='Which language is spoken in Czech Republic?', correct=10, chosen=(6, 0.0), rew=-1, eps=0.928
INFO:root:[AutoTrain] ep=15, question='New Year's Day date?', correct=7, chosen=(6, 0.0), rew=-1, eps=0.923
INFO:root:[AutoTrain] ep=16, question='Which language is spoken in Czech Republic?', correct=10, chosen=(2, 0.0), rew=-1, eps=0.918
INFO:root:[AutoTrain] ep=17, question='What is the capital of Poland?', correct=0, chosen=(1, 0.0), rew=-1, eps=0.914
INFO:root:[AutoTrain] ep=18, question='Who will be the next president of Poland?', correct=11, chosen=(12, 0.0), rew=-1, eps=0.909
INFO:root:[AutoTrain] ep=19, question='Is there a university called UHK?', correct=2, chosen=(5, 0.0), rew=-1, eps=0.905
INFO:root:[AutoTrain] ep=20, question='Warsaw is capital of what country?', correct=8, chosen=(10, 0.0), rew=-1, eps=0.900
INFO:root:[AutoTrain] ep=21, question='Lady with Ermine location?', correct=8, chosen=(1, 0.0), rew=-1, eps=0.896
INFO:root:[AutoTrain] ep=22, question='What is the next winning lottery number?', correct=11, chosen=(9, 0.0), rew=-1, eps=0.891
INFO:root:[AutoTrain] ep=23, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=(4, 0.0), rew=-1, eps=0.887
INFO:root:[AutoTrain] ep=24, question='What is the capital of the Czech Republic?', correct=5, chosen=(7, 0.0), rew=-1, eps=0.882
INFO:root:[AutoTrain] ep=25, question='Which language do people speak in Czech Republic?', correct=10, chosen=(5, 1.0256591943619795), rew=-1, eps=0.878
INFO:root:[AutoTrain] ep=26, question='What language do people speak in Czechia?', correct=10, chosen=(9, 0.0), rew=-1, eps=0.873
INFO:root:[AutoTrain] ep=27, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=(5, 10.933402106369346), rew=-1, eps=0.869
INFO:root:[AutoTrain] ep=28, question='What is the difference between a city and a country?', correct=4, chosen=(11, 0.0), rew=-1, eps=0.865
INFO:root:[AutoTrain] ep=29, question='Czech Republic official language?', correct=10, chosen=(7, 0.0), rew=-1, eps=0.860
INFO:root:[AutoTrain] ep=30, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=(1, 0.0), rew=-1, eps=0.856
INFO:root:[AutoTrain] ep=0, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=10, rew=-1, eps=0.995
INFO:root:[AutoTrain] ep=1, question='Who will be the next president of Poland?', correct=11, chosen=10, rew=-1, eps=0.990
INFO:root:[AutoTrain] ep=2, question='What day is New Year?', correct=7, chosen=9, rew=-1, eps=0.985
INFO:root:[AutoTrain] ep=3, question='What are the main colors of the Polish flag?', correct=4, chosen=2, rew=-1, eps=0.980
INFO:root:[AutoTrain] ep=4, question='Which language do Czechs speak?', correct=10, chosen=1, rew=-1, eps=0.975
INFO:root:[AutoTrain] ep=5, question='Lady with Ermine location?', correct=8, chosen=9, rew=-1, eps=0.970
INFO:root:[AutoTrain] ep=6, question='Where will I be in 10 years?', correct=11, chosen=0, rew=-1, eps=0.966
INFO:root:[AutoTrain] ep=7, question='What day is New Year?', correct=7, chosen=10, rew=-1, eps=0.961
INFO:root:[AutoTrain] ep=8, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=12, rew=-1, eps=0.956
INFO:root:[AutoTrain] ep=9, question='Berlin is capital of which country?', correct=12, chosen=7, rew=-1, eps=0.951
INFO:root:[AutoTrain] ep=10, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=4, rew=-1, eps=0.946
INFO:root:[AutoTrain] ep=11, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=12, rew=-1, eps=0.942
INFO:root:[AutoTrain] ep=12, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=6, rew=-1, eps=0.937
INFO:root:[AutoTrain] ep=13, question='Which language do Czechs speak?', correct=10, chosen=0, rew=-1, eps=0.932
INFO:root:[AutoTrain] ep=14, question='What is the next winning lottery number?', correct=11, chosen=10, rew=-1, eps=0.928
INFO:root:[AutoTrain] ep=15, question='Who is the author of 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.923
INFO:root:[AutoTrain] ep=16, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=8, rew=-1, eps=0.918
INFO:root:[AutoTrain] ep=17, question='Tell me about UHK', correct=2, chosen=2, rew=1, eps=0.914
INFO:root:[AutoTrain] ep=18, question='Warsaw is the capital of which country?', correct=8, chosen=9, rew=-1, eps=0.909
INFO:root:[AutoTrain] ep=19, question='Lady with Ermine location?', correct=8, chosen=12, rew=-1, eps=0.905
INFO:root:[AutoTrain] ep=20, question='Can you tell me what I had for breakfast today?', correct=11, chosen=1, rew=-1, eps=0.900
INFO:root:[AutoTrain] ep=21, question='What is capital of Germany?', correct=6, chosen=4, rew=-1, eps=0.896
INFO:root:[AutoTrain] ep=22, question='Where will I be in 10 years?', correct=11, chosen=8, rew=-1, eps=0.891
INFO:root:[AutoTrain] ep=23, question='Warsaw is the capital of which country?', correct=8, chosen=10, rew=-1, eps=0.887
INFO:root:[AutoTrain] ep=24, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=0, rew=-1, eps=0.882
INFO:root:[AutoTrain] ep=25, question='New Year's Day date?', correct=7, chosen=0, rew=-1, eps=0.878
INFO:root:[AutoTrain] ep=26, question='Warsaw is the capital of which country?', correct=8, chosen=2, rew=-1, eps=0.873
INFO:root:[AutoTrain] ep=27, question='What day is New Year?', correct=7, chosen=12, rew=-1, eps=0.869
INFO:root:[AutoTrain] ep=28, question='When is New Year's Day celebrated?', correct=7, chosen=3, rew=-1, eps=0.865
INFO:root:[AutoTrain] ep=29, question='What is my favorite color?', correct=11, chosen=0, rew=-1, eps=0.860
INFO:root:[AutoTrain] ep=30, question='When is New Year’s Day celebrated?', correct=7, chosen=1, rew=-1, eps=0.856
INFO:root:[AutoTrain] ep=31, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=7, rew=-1, eps=0.852
INFO:root:[AutoTrain] ep=32, question='What is UHK?', correct=2, chosen=5, rew=-1, eps=0.848
INFO:root:[AutoTrain] ep=33, question='Where will I be in 10 years?', correct=11, chosen=12, rew=-1, eps=0.843
INFO:root:[AutoTrain] ep=34, question='Language spoken in Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.839
INFO:root:[AutoTrain] ep=35, question='Which language is spoken in the Czech Republic?', correct=10, chosen=12, rew=-1, eps=0.835
