INFO:root:[AutoTrain] ep=0, question='Who will be the next president of Poland?', correct=11, chosen=11, rew=1, eps=0.995, confidence=0.0769
INFO:root:[AutoTrain] ep=1, question='Explain the concept of gravity in simple terms.', correct=4, chosen=7, rew=-1, eps=0.990, confidence=0.0769
INFO:root:[AutoTrain] ep=2, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.985, confidence=0.0769
INFO:root:[AutoTrain] ep=3, question='Language spoken in Czech Republic?', correct=10, chosen=5, rew=-1, eps=0.980, confidence=0.0769
INFO:root:[AutoTrain] ep=4, question='What are the main colors of the Polish flag?', correct=4, chosen=9, rew=-1, eps=0.975, confidence=0.0769
INFO:root:[AutoTrain] ep=5, question='How many planets will be discovered in the future?', correct=11, chosen=11, rew=1, eps=0.970, confidence=0.0769
INFO:root:[AutoTrain] ep=6, question='Lady with Ermine location?', correct=8, chosen=12, rew=-1, eps=0.966, confidence=0.0769
INFO:root:[AutoTrain] ep=7, question='What day is New Year?', correct=7, chosen=9, rew=-1, eps=0.961, confidence=0.0769
INFO:root:[AutoTrain] ep=8, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=11, rew=-1, eps=0.956, confidence=0.2217
INFO:root:[AutoTrain] ep=9, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=2, rew=-1, eps=0.951, confidence=0.0769
INFO:root:[AutoTrain] ep=10, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=5, rew=-1, eps=0.946, confidence=0.0769
INFO:root:[AutoTrain] ep=11, question='How many days in leap year February?', correct=3, chosen=5, rew=-1, eps=0.942, confidence=0.0769
INFO:root:[AutoTrain] ep=12, question='Berlin is capital of which country?', correct=12, chosen=1, rew=-1, eps=0.937, confidence=0.0769
INFO:root:[AutoTrain] ep=13, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=2, rew=-1, eps=0.932, confidence=0.0769
INFO:root:[AutoTrain] ep=14, question='Painter of the Lady with an Ermine?', correct=1, chosen=6, rew=-1, eps=0.928, confidence=0.0769
INFO:root:[AutoTrain] ep=15, question='Warsaw is the capital of which country?', correct=8, chosen=0, rew=-1, eps=0.923, confidence=0.0650
INFO:root:[AutoTrain] ep=16, question='How many days does February contain in a leap year?', correct=3, chosen=0, rew=-1, eps=0.918, confidence=0.0769
INFO:root:[AutoTrain] ep=17, question='What is capital of Germany?', correct=6, chosen=4, rew=-1, eps=0.914, confidence=0.3168
INFO:root:[AutoTrain] ep=18, question='When is New Year's Day celebrated?', correct=7, chosen=12, rew=-1, eps=0.909, confidence=0.0769
INFO:root:[AutoTrain] ep=19, question='What is Poland's capital?', correct=0, chosen=0, rew=1, eps=0.905, confidence=0.3428
INFO:root:[AutoTrain] ep=20, question='Where is 'Lady with an Ermine' kept?', correct=8, chosen=9, rew=-1, eps=0.900, confidence=0.0769
INFO:root:[AutoTrain] ep=21, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=7, rew=1, eps=0.896, confidence=0.0769
INFO:root:[AutoTrain] ep=22, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=7, rew=-1, eps=0.891, confidence=0.0769
INFO:root:[AutoTrain] ep=23, question='When is New Year's Day celebrated?', correct=7, chosen=12, rew=-1, eps=0.887, confidence=0.0769
INFO:root:[AutoTrain] ep=24, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=9, rew=-1, eps=0.882, confidence=0.0769
INFO:root:[AutoTrain] ep=25, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=2, rew=-1, eps=0.878, confidence=0.0769
INFO:root:[AutoTrain] ep=26, question='How many days does February have in a leap year?', correct=3, chosen=11, rew=-1, eps=0.873, confidence=0.1139
INFO:root:[AutoTrain] ep=27, question='Capital of Poland is? ', correct=0, chosen=8, rew=-1, eps=0.869, confidence=0.0769
INFO:root:[AutoTrain] ep=28, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=4, rew=-1, eps=0.865, confidence=0.0769
INFO:root:[AutoTrain] ep=29, question='UHK university location?', correct=2, chosen=1, rew=-1, eps=0.860, confidence=0.0769
INFO:root:[AutoTrain] ep=30, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=10, rew=-1, eps=0.856, confidence=0.0769
INFO:root:[AutoTrain] ep=31, question='Which language do Czechs speak?', correct=10, chosen=0, rew=-1, eps=0.852, confidence=0.0967
INFO:root:[AutoTrain] ep=32, question='Who will be the next president of Poland?', correct=11, chosen=2, rew=-1, eps=0.848, confidence=0.0769
INFO:root:[AutoTrain] ep=33, question='What is the capital of Poland?', correct=0, chosen=2, rew=-1, eps=0.843, confidence=0.0769
INFO:root:[AutoTrain] ep=34, question='What is the capital of Germany?', correct=6, chosen=11, rew=-1, eps=0.839, confidence=0.0769
INFO:root:[AutoTrain] ep=35, question='Can you tell me what I had for breakfast today?', correct=11, chosen=10, rew=-1, eps=0.835, confidence=0.0769
INFO:root:[AutoTrain] ep=36, question='Czech Republic official language?', correct=10, chosen=5, rew=-1, eps=0.831, confidence=0.0769
INFO:root:[AutoTrain] ep=37, question='Which language is spoken in Czech Republic?', correct=10, chosen=2, rew=-1, eps=0.827, confidence=0.0769
INFO:root:[AutoTrain] ep=38, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=8, rew=-1, eps=0.822, confidence=0.0769
INFO:root:[AutoTrain] ep=39, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=2, rew=-1, eps=0.818, confidence=0.0769
INFO:root:[AutoTrain] ep=40, question='What is the language used in the Czech Republic?', correct=10, chosen=11, rew=-1, eps=0.814, confidence=0.1731
INFO:root:[AutoTrain] ep=41, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.810, confidence=0.0769
INFO:root:[AutoTrain] ep=42, question='Give me an example of a secure password.', correct=4, chosen=12, rew=-1, eps=0.806, confidence=0.0769
INFO:root:[AutoTrain] ep=43, question='What is the name of university in Hradec Kralove?', correct=2, chosen=3, rew=-1, eps=0.802, confidence=0.0769
INFO:root:[AutoTrain] ep=44, question='Where will I be in 10 years?', correct=11, chosen=11, rew=1, eps=0.798, confidence=0.0769
INFO:root:[AutoTrain] ep=45, question='UHK university location?', correct=2, chosen=1, rew=-1, eps=0.794, confidence=0.0769
INFO:root:[AutoTrain] ep=46, question='How many days does February contain in a leap year?', correct=3, chosen=3, rew=1, eps=0.790, confidence=0.0769
INFO:root:[AutoTrain] ep=47, question='Who painted the Lady with an Ermine?', correct=1, chosen=11, rew=-1, eps=0.786, confidence=0.3014
INFO:root:[AutoTrain] ep=48, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=7, rew=-1, eps=0.782, confidence=0.0769
INFO:root:[AutoTrain] ep=49, question='When is New Year's Day celebrated?', correct=7, chosen=2, rew=-1, eps=0.778, confidence=0.0769
INFO:root:[AutoTrain] ep=50, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=11, rew=-1, eps=0.774, confidence=0.4554
INFO:root:[AutoTrain] ep=51, question='In which city is 'Lady with an Ermine' located?', correct=9, chosen=2, rew=-1, eps=0.771, confidence=0.0769
INFO:root:[AutoTrain] ep=52, question='When is January 1 celebrated?', correct=7, chosen=4, rew=-1, eps=0.767, confidence=0.3206
INFO:root:[AutoTrain] ep=53, question='What is the difference between a city and a country?', correct=4, chosen=11, rew=-1, eps=0.763, confidence=0.0769
INFO:root:[AutoTrain] ep=54, question='Czech Republic language?', correct=10, chosen=10, rew=1, eps=0.759, confidence=0.0769
INFO:root:[AutoTrain] ep=55, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=3, rew=-1, eps=0.755, confidence=0.0769
INFO:root:[AutoTrain] ep=56, question='University in Hradec Kralove?', correct=2, chosen=7, rew=-1, eps=0.751, confidence=0.1566
INFO:root:[AutoTrain] ep=57, question='Capital of Poland is? ', correct=0, chosen=12, rew=-1, eps=0.748, confidence=0.0769
INFO:root:[AutoTrain] ep=58, question='What will the stock market do next week?', correct=11, chosen=10, rew=-1, eps=0.744, confidence=0.0769
INFO:root:[AutoTrain] ep=59, question='When is January 1 celebrated?', correct=7, chosen=11, rew=-1, eps=0.740, confidence=0.0769
INFO:root:[AutoTrain] ep=60, question='Can you tell me what I had for breakfast today?', correct=11, chosen=11, rew=1, eps=0.737, confidence=0.0769
INFO:root:[AutoTrain] ep=61, question='Painter of the Lady with an Ermine?', correct=1, chosen=8, rew=-1, eps=0.733, confidence=0.0769
INFO:root:[AutoTrain] ep=62, question='Where you can found painting: Lady with an Ermine?', correct=8, chosen=8, rew=1, eps=0.729, confidence=0.0769
INFO:root:[AutoTrain] ep=63, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=1, rew=-1, eps=0.726, confidence=0.0769
INFO:root:[AutoTrain] ep=64, question='What are the main colors of the Polish flag?', correct=4, chosen=11, rew=-1, eps=0.722, confidence=0.0769
INFO:root:[AutoTrain] ep=65, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=10, rew=-1, eps=0.718, confidence=0.0769
INFO:root:[AutoTrain] ep=66, question='University in Hradec Kralove?', correct=2, chosen=2, rew=1, eps=0.715, confidence=0.0769
INFO:root:[AutoTrain] ep=67, question='What are the main colors of the Polish flag?', correct=4, chosen=5, rew=-1, eps=0.711, confidence=0.0769
INFO:root:[AutoTrain] ep=68, question='Warsaw is the capital of what country?', correct=8, chosen=7, rew=-1, eps=0.708, confidence=0.0769
INFO:root:[AutoTrain] ep=69, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.704, confidence=0.0769
INFO:root:[AutoTrain] ep=70, question='Who is the author of the painting 'Lady with an Ermine'?', correct=1, chosen=1, rew=1, eps=0.701, confidence=0.0769
INFO:root:[AutoTrain] ep=71, question='What happens when you mix blue and yellow paint? ', correct=4, chosen=0, rew=-1, eps=0.697, confidence=0.0769
INFO:root:[AutoTrain] ep=72, question='What is Poland's capital?', correct=0, chosen=7, rew=-1, eps=0.694, confidence=0.0769
INFO:root:[AutoTrain] ep=73, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=1, rew=-1, eps=0.690, confidence=0.0769
INFO:root:[AutoTrain] ep=74, question='UHK university location?', correct=2, chosen=9, rew=-1, eps=0.687, confidence=0.1965
INFO:root:[AutoTrain] ep=75, question='Painter of the Lady with an Ermine?', correct=1, chosen=10, rew=-1, eps=0.683, confidence=0.0769
INFO:root:[AutoTrain] ep=76, question='Explain the concept of gravity in simple terms.', correct=4, chosen=10, rew=-1, eps=0.680, confidence=0.0769
INFO:root:[AutoTrain] ep=77, question='University in Hradec Kralove?', correct=2, chosen=3, rew=-1, eps=0.676, confidence=0.0364
INFO:root:[AutoTrain] ep=78, question='Date of New Year's Day?', correct=7, chosen=1, rew=-1, eps=0.673, confidence=0.0769
INFO:root:[AutoTrain] ep=79, question='Which country has Lady with an Ermine?', correct=8, chosen=8, rew=1, eps=0.670, confidence=0.0769
INFO:root:[AutoTrain] ep=80, question='What is the capital of Germany?', correct=6, chosen=0, rew=-1, eps=0.666, confidence=0.1666
INFO:root:[AutoTrain] ep=81, question='What is the capital of the Czech Republic?', correct=5, chosen=3, rew=-1, eps=0.663, confidence=0.0769
INFO:root:[AutoTrain] ep=82, question='Explain the concept of gravity in simple terms.', correct=4, chosen=3, rew=-1, eps=0.660, confidence=0.0956
INFO:root:[AutoTrain] ep=83, question='What language do people speak in Czech Republic?', correct=10, chosen=8, rew=-1, eps=0.656, confidence=0.1848
INFO:root:[AutoTrain] ep=84, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=5, rew=-1, eps=0.653, confidence=0.0769
INFO:root:[AutoTrain] ep=85, question='Capitol of Poland?', correct=0, chosen=3, rew=-1, eps=0.650, confidence=0.0769
INFO:root:[AutoTrain] ep=86, question='What are the main colors of the Polish flag?', correct=4, chosen=0, rew=-1, eps=0.647, confidence=0.0452
INFO:root:[AutoTrain] ep=87, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=3, rew=-1, eps=0.643, confidence=0.0769
INFO:root:[AutoTrain] ep=88, question='Capital of Poland is? ', correct=0, chosen=6, rew=-1, eps=0.640, confidence=0.0769
INFO:root:[AutoTrain] ep=89, question='Which language do people speak in Czech Republic?', correct=10, chosen=3, rew=-1, eps=0.637, confidence=0.1528
INFO:root:[AutoTrain] ep=90, question='New Year's Day date?', correct=7, chosen=11, rew=-1, eps=0.634, confidence=0.0769
INFO:root:[AutoTrain] ep=91, question='Where is 'Lady with an Ermine' displayed?', correct=8, chosen=10, rew=-1, eps=0.631, confidence=0.0769
INFO:root:[AutoTrain] ep=92, question='What is the capital of Poland?', correct=0, chosen=11, rew=-1, eps=0.627, confidence=0.0769
INFO:root:[AutoTrain] ep=93, question='What is the capital of Poland?', correct=0, chosen=0, rew=1, eps=0.624, confidence=0.1438
INFO:root:[AutoTrain] ep=94, question='Where is 'Lady with an Ermine' located?', correct=8, chosen=7, rew=-1, eps=0.621, confidence=0.0769
INFO:root:[AutoTrain] ep=95, question='Explain the concept of gravity in simple terms.', correct=4, chosen=8, rew=-1, eps=0.618, confidence=0.0769
INFO:root:[AutoTrain] ep=96, question='Is there a university called UHK?', correct=2, chosen=11, rew=-1, eps=0.615, confidence=0.0563
INFO:root:[AutoTrain] ep=97, question='Where is the capital city of Poland?', correct=0, chosen=0, rew=1, eps=0.612, confidence=0.0476
INFO:root:[AutoTrain] ep=98, question='Which language do Czechs speak?', correct=10, chosen=5, rew=-1, eps=0.609, confidence=0.0769
INFO:root:[AutoTrain] ep=99, question='How many days in leap year February?', correct=3, chosen=4, rew=-1, eps=0.606, confidence=0.0769
INFO:root:[AutoTrain] ep=100, question='Which artist painted 'Lady with an Ermine'?', correct=1, chosen=2, rew=-1, eps=0.603, confidence=0.0769
INFO:root:[AutoTrain] ep=101, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=1, rew=-1, eps=0.600, confidence=0.2200
INFO:root:[AutoTrain] ep=102, question='Which language do people speak in Czech Republic?', correct=10, chosen=7, rew=-1, eps=0.597, confidence=0.0769
INFO:root:[AutoTrain] ep=103, question='Name Poland' s capital city', correct=0, chosen=0, rew=1, eps=0.594, confidence=0.1688
INFO:root:[AutoTrain] ep=104, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.591, confidence=0.3750
INFO:root:[AutoTrain] ep=105, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=9, rew=-1, eps=0.588, confidence=-0.0558
INFO:root:[AutoTrain] ep=106, question='How many days in leap year February?', correct=3, chosen=1, rew=-1, eps=0.585, confidence=0.0769
INFO:root:[AutoTrain] ep=107, question='Where is the capital city of Poland?', correct=0, chosen=9, rew=-1, eps=0.582, confidence=0.0769
INFO:root:[AutoTrain] ep=108, question='What is the name of university in Hradec Kralove?', correct=2, chosen=2, rew=1, eps=0.579, confidence=0.0769
