INFO:root:[AutoTrain] ep=0, question='Language spoken in Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.995, confidence=0.0769
INFO:root:[AutoTrain] ep=1, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=10, rew=-1, eps=0.990, confidence=0.0769
INFO:root:[AutoTrain] ep=2, question='What is the next winning lottery number?', correct=11, chosen=2, rew=-1, eps=0.985, confidence=0.0769
INFO:root:[AutoTrain] ep=3, question='Can you tell me what I had for breakfast today?', correct=11, chosen=12, rew=-1, eps=0.980, confidence=0.0769
INFO:root:[AutoTrain] ep=4, question='Name Poland' s capital city', correct=0, chosen=12, rew=-1, eps=0.975, confidence=0.0769
INFO:root:[AutoTrain] ep=5, question='Language spoken in Czech Republic?', correct=10, chosen=0, rew=-1, eps=0.970, confidence=0.0769
INFO:root:[AutoTrain] ep=6, question='Tell me about UHK', correct=2, chosen=3, rew=-1, eps=0.966, confidence=0.0769
INFO:root:[AutoTrain] ep=7, question='Which city keeps 'Lady with an Ermine'?', correct=8, chosen=8, rew=1, eps=0.961, confidence=0.0769
INFO:root:[AutoTrain] ep=8, question='What is the capital of Germany?', correct=6, chosen=9, rew=-1, eps=0.956, confidence=0.0769
INFO:root:[AutoTrain] ep=9, question='What language do people speak in Czechia?', correct=10, chosen=11, rew=-1, eps=0.951, confidence=0.0769
INFO:root:[AutoTrain] ep=10, question='Who is the painter of 'Lady with an Ermine'?', correct=1, chosen=11, rew=-1, eps=0.946, confidence=0.0769
INFO:root:[AutoTrain] ep=11, question='UHK university location?', correct=2, chosen=4, rew=-1, eps=0.942, confidence=0.0769
INFO:root:[AutoTrain] ep=12, question='What will the stock market do next week?', correct=11, chosen=12, rew=-1, eps=0.937, confidence=0.0769
INFO:root:[AutoTrain] ep=13, question='Where is located the painting called 'Lady with an Ermine'?', correct=8, chosen=6, rew=-1, eps=0.932, confidence=0.0769
INFO:root:[AutoTrain] ep=14, question='What is the next number in the sequence: 2, 4 , 8, 16...?', correct=4, chosen=10, rew=-1, eps=0.928, confidence=0.0769
INFO:root:[AutoTrain] ep=15, question='Warsaw is capital of what country?', correct=8, chosen=10, rew=-1, eps=0.923, confidence=0.0769
INFO:root:[AutoTrain] ep=16, question='Warsaw is capital of what country?', correct=8, chosen=2, rew=-1, eps=0.918, confidence=0.0769
INFO:root:[AutoTrain] ep=17, question='What is the language used in the Czech Republic?', correct=10, chosen=4, rew=-1, eps=0.914, confidence=0.0769
INFO:root:[AutoTrain] ep=18, question='Which country has Lady with an Ermine?', correct=8, chosen=7, rew=-1, eps=0.909, confidence=0.0769
INFO:root:[AutoTrain] ep=19, question='How does a leap year work? ', correct=4, chosen=6, rew=-1, eps=0.905, confidence=0.0769
INFO:root:[AutoTrain] ep=20, question='Which language do people speak in Czech Republic?', correct=10, chosen=5, rew=-1, eps=0.900, confidence=0.2217
INFO:root:[AutoTrain] ep=21, question='On which date do people celebrate New Year’s Day?', correct=7, chosen=4, rew=-1, eps=0.896, confidence=0.1350
INFO:root:[AutoTrain] ep=22, question='When is January 1 celebrated?', correct=7, chosen=6, rew=-1, eps=0.891, confidence=0.0769
INFO:root:[AutoTrain] ep=23, question='Where can I find the painting 'Lady with an Ermine'?', correct=8, chosen=11, rew=-1, eps=0.887, confidence=0.0769
INFO:root:[AutoTrain] ep=24, question='Name Poland' s capital city', correct=0, chosen=3, rew=-1, eps=0.882, confidence=0.0769
INFO:root:[AutoTrain] ep=25, question='Which university that teaches computer science is the biggest in Hradec Kralove?', correct=2, chosen=5, rew=-1, eps=0.878, confidence=0.1593
INFO:root:[AutoTrain] ep=26, question='Capital of Poland is? ', correct=0, chosen=5, rew=-1, eps=0.873, confidence=0.3320
INFO:root:[AutoTrain] ep=27, question='When is New Year’s Day celebrated?', correct=7, chosen=10, rew=-1, eps=0.869, confidence=0.0769
INFO:root:[AutoTrain] ep=28, question='How many days in leap year February?', correct=3, chosen=5, rew=-1, eps=0.865, confidence=0.0769
INFO:root:[AutoTrain] ep=29, question='Can you tell me what I had for breakfast today?', correct=11, chosen=6, rew=-1, eps=0.860, confidence=0.0769
INFO:root:[AutoTrain] ep=30, question='In which country can you find the painting 'Lady with an Ermine'?', correct=8, chosen=5, rew=-1, eps=0.856, confidence=0.2697
